text,created_at,lang
Fotoğraflarıma yorum yapıp sonra siliyorsunuz ya kendi kendime konuşmuş gibi kalıyorum ağzınızı yüzünüzü sikesim geliyor ,Wed Jul 05 22:44:56 +0000 2017 ,tr 
Yine bir şeyler boka sardı toparlayamıycaz galiba ,Wed Jul 05 16:53:30 +0000 2017 ,tr 
RT  kediyiimben  kedileri sevdikten sonra ellerinizi yıkamanıza da baya bir kırgınım ,Wed Jul 05 16:52:55 +0000 2017 ,tr 
RT  kukumela  duşa girip biraz ağlayayım yoksa annem kızıyor yerleri ıslatıyorum diye  ,Wed Jul 05 16:47:52 +0000 2017 ,tr 
RT  yuhlitoris  naparsanız yapın bırakmıyorum sigarayı isterseniz küçük altınla satın bahçeye eker biçer döver yine içerim ,Sun Jul 02 16:15:23 +0000 2017 ,tr 
RT  icarusvari  nazik davranan herkesi size yürüyor sanıyorsunuz  iki kelime konuşuyoruz aha flört diyorsunuz  hiç mi sevmediler sizi bu na… ,Thu Jun 29 12:26:34 +0000 2017 ,tr 
Böcek korkusundan balkonda telefon flaşıyla oturuyorum amk ,Wed Jun 28 21:11:13 +0000 2017 ,tr 
Ulan çok güzelim beeeeeee ,Wed Jun 28 19:54:11 +0000 2017 ,tr 
Ulan çocuk taş mısın nesin allaaah ,Wed Jun 28 19:43:23 +0000 2017 ,tr 
Sevdiğim tek meyve şeftali oda alerji yapıyor  Ben size hayattaki şansımı daha nasıl anlatayım  ,Wed Jun 28 01:58:48 +0000 2017 ,tr 
RT  nrsnyldrm  Biz rakıyı yaramıza kadar koyacaksak  o bardak taşar  ,Tue Jun 27 18:42:44 +0000 2017 ,tr 
Böcek yazınca emojide çıkan böcek şeysini görüp ekrana böcek kondu sandım yine korktum amk ya ağliycim ,Tue Jun 27 18:40:23 +0000 2017 ,tr 
Ulan şerefsiz böcek nasıl gelip bacağımı buldun kalp krizi geçiriyordum yine ya ,Tue Jun 27 18:39:38 +0000 2017 ,tr 
 TanerOZ7 Muck ,Tue Jun 27 18:36:45 +0000 2017 ,en 
 TanerOZ7 Tabiki Taner dlssksksk ,Tue Jun 27 18:36:14 +0000 2017 ,tl 
 TanerOZ7 Yani evet    ,Tue Jun 27 18:35:21 +0000 2017 ,tr 
 TanerOZ7 Neden peki      ,Tue Jun 27 18:33:32 +0000 2017 ,tr 
Ulan sırf güzel güzel fotoğraflarını çekip paylaşmak için çocuk yapasım var ,Tue Jun 27 18:25:17 +0000 2017 ,tr 
Hayat pırasa ve ben pırasa sevmem ,Tue Jun 27 18:17:19 +0000 2017 ,tr 
Biri ojelerimi silse de yenisini sürse çok üşeniyom oaff ,Mon Jun 26 23:12:47 +0000 2017 ,tr 
Ya sen ne orospu çocuğu çıktın nasıl bilemedik ,Mon Jun 26 23:11:42 +0000 2017 ,tr 
41 saattir uyumuyorum ve inatla uyumuyorum uyumuycam amk ,Mon Jun 26 23:11:17 +0000 2017 ,tr 
 disloyaltyy Hem engelliyor hem de hesabıma girip tekrar takip ediyor allan boku ,Mon Jun 26 21:52:10 +0000 2017 ,tr 
 disloyaltyy Engellemeyenin amına koyim ,Mon Jun 26 21:43:43 +0000 2017 ,tr 
Ulan keşke yalnız yaşasam tam bana göre bir şey fiyuu ,Mon Jun 26 21:26:26 +0000 2017 ,tr 
RT  beklentileruzer  Zaman seni ufak bir anıya muhtaç edip saatlerce ağlatsın isterdim  ,Mon Jun 26 20:15:10 +0000 2017 ,tr 
Ramazan bitince müslüman olduğunuzu unutmasanız iyi insanlarsınız aslında ,Mon Jun 26 20:14:24 +0000 2017 ,tr 
RT  beklentileruzer  sırf bayram diye küsler barışmasın  yapılan kahpelikler unutulmasın  ,Mon Jun 26 14:42:31 +0000 2017 ,tr 
 hale yavuzz Kızım kıskanıyoruz yapma ayolll dkdkdksk ,Mon Jun 26 07:40:01 +0000 2017 ,tr 
Onun için değerli olduğunu sandığın insanın hayatında bir hiç olduğunu anladığın zaman hayattan bir miktar soğuyorsun ,Mon Jun 26 07:35:03 +0000 2017 ,tr 
RT  ozansomel  gece balkonda otururken bir şeylere inanmaya duyulan o ihtiyaç ,Thu Jun 22 22:57:45 +0000 2017 ,tr 
Kızım senin memen yok sen konuşma amk ,Thu Jun 22 18:47:55 +0000 2017 ,tr 
Yaptığım her şeyi taklit edeceğine git shopla memeni falan büyült amk ,Thu Jun 22 02:33:49 +0000 2017 ,tr 
Ben oje sürdüm ya ihtiyacım olan her şey ulaşılması en güç yerde olmak zorunda ,Wed Jun 21 23:02:37 +0000 2017 ,tr 
RT  tolunaybeydicen  Neden gayler biseksüeller interseksüeller lezbiyenler yok sayılıyor  Batsın eril heteroseksist egemenliğiniz aq  ,Wed Jun 21 17:49:26 +0000 2017 ,tr 
RT  tolunaybeydicen  Amk kızların giydikleri şeyler size batıyosa bakmayın sizde o zaman orospu çocukları ,Wed Jun 21 17:24:56 +0000 2017 ,tr 
Siz bana böyle gıcık oluyorsunuz ya nasıl mutlu oluyorum anlatamam           ,Wed Jun 21 16:38:53 +0000 2017 ,tr 
 bahargunes435 Tamam o zaman içim rahat uyuyayım dksmsmsms ,Tue Jun 20 20:38:33 +0000 2017 ,tr 
 bahargunes435 bende senin bitane var ya dkdmdmdmdmdmd ,Tue Jun 20 20:35:57 +0000 2017 ,cs 
RT  cileekkokusuuu  Sabahtan beri Fi izliyorum umarım Can gibi sevmeyene adam demiyoruzdur ,Mon Jun 19 09:01:38 +0000 2017 ,tr 
RT  kukumela  iyiyim işte ne yapayım ben de banyoya girdim ağlıyorum  annem duş alıyorum sanıyo  ,Sun Jun 18 22:03:08 +0000 2017 ,tr 
Biz o adına şiir yazılan kadınlardan değil babasının daha ölmeden mezara koyduğu kız çocuklarındanız ,Sat Jun 17 23:09:09 +0000 2017 ,tr 
Son 2 gündür yalnızlığın amına koydum tşkklr etrafımdaki insancıklar ,Sat Jun 17 23:05:34 +0000 2017 ,tr 
Fi dizisi resmen  bir kadın nasıl kaybedilir  i anlatmıyor mu ya  ,Sat Jun 17 21:18:36 +0000 2017 ,tr 
RT  kukumela  günaydın bedriye abla  sevgilimi öldürdüm de  fazla poşet var mi sende  ,Sat Jun 17 11:25:07 +0000 2017 ,tr 
Çocuklara bebeklere tecavüz edilmesine göz yuman tanrı senin lys sınavına yardım etmez kusura bakma ,Fri Jun 16 16:26:34 +0000 2017 ,tr 
RT  hale yavuzz  Bu askimsu ne kadar iğrenç bi seslenme şekli gerçekten Ağlıyorum şu an 😂 ,Thu Jun 15 20:22:25 +0000 2017 ,tr 
 marjinalkizx Aksini söylemedim ki be be ğim💁🏼 ,Thu Jun 15 18:24:46 +0000 2017 ,tr 
Anne niye beni sümüklüm diye seviyon anneeeeeee        ,Thu Jun 15 18:18:12 +0000 2017 ,tr 
RT  LGBTTurkiye  Sezen Aksu   Kadını  erkeği  transı  geyi yok  aşk gökyüzü gibi  herkesindir   ,Thu Jun 15 08:48:31 +0000 2017 ,tr 
RT  Fatality794    Şeytan diye bir şey olmadığını bilmiyor musunuz  o yalnızca Tanrı’nın sarhoş hali    ,Thu Jun 15 08:27:45 +0000 2017 ,tr 
RT  Fatality794  Muhammed kendine  yarattığı tanrı sayesinde ordular ve harem kuruyor 
Kadınları hiçe sayıp erkekleri yüceltiyor   ,Thu Jun 15 08:24:17 +0000 2017 ,tr 
RT  Fatality794  Tanrı  zalim olan  Tanrı  intikamcı olan  Tanrı  kıskanç olan  Tanrı  soykırımcı olan onun tek özrü var olmaması olabilir  ,Thu Jun 15 08:18:59 +0000 2017 ,tr 
RT  Ateist Aforizma  İnanç için kendini 12 saat aç bırakıp sonra hunharca yemek yemek ibadet  savunduğu haklarına dikkat çekmek için açlık… ,Thu Jun 15 08:16:04 +0000 2017 ,tr 
Beni sahura değil dansa kaldır ,Thu Jun 15 08:12:48 +0000 2017 ,tr 
Arkadaş diye peynir reyonundan kaşar almışız haberimiz yokmuş ,Thu Jun 15 08:11:04 +0000 2017 ,tr 
Az önce başı kapalı olup diz üstü etek giyen bir kadın gördüm de merak ediyorum bu neyin kafası  ,Thu Jun 15 08:05:18 +0000 2017 ,tr 
Kızım sokağın ortasında laf atmak varoşluğun kaçıncı evresi  ,Thu Jun 15 08:02:14 +0000 2017 ,tr 
Ulan orospu çocukları ilk günkü gibi kalsanız ne olur  ,Thu Jun 15 07:59:07 +0000 2017 ,tr 
RT  BugraYt  Yıllardır cehennem gibi bir yere cennet muamelesi yaptınız Kendinizi kandırdınız
Burda çocukların burda kadınların burda insan… ,Tue Jun 13 22:39:33 +0000 2017 ,tr 
RT  Behzatc replik  Ben çok sevdim  ondan böyleyim  ,Tue Jun 13 20:49:47 +0000 2017 ,tr 
İnsan  insana ev olmalı ,Tue Jun 13 20:05:18 +0000 2017 ,tr 
Tatlım siz böyle her şeyi kıskanacak mısınız  ,Tue Jun 13 00:46:27 +0000 2017 ,tr 
Aramazsan aramaa yar araaaamazsaan aramaaaaaa ,Sun Jun 11 21:08:35 +0000 2017 ,tr 
 caglarakgll Kesinlikle 🙄 ,Sat Jun 10 21:48:20 +0000 2017 ,tr 
Kızlar  erkekler çok basit varlıklar niye onlar için ağlıyorsunuz mal mısınız amk ,Sat Jun 10 21:44:17 +0000 2017 ,tr 
Sensin benim en derin kuyum orospu çocuğu ,Sat Jun 10 21:42:25 +0000 2017 ,tr 
Siktir et ,Sat Jun 10 21:15:18 +0000 2017 ,tr 
Hayatım orospu çocuklarıyla dolu ,Sat Jun 10 21:15:11 +0000 2017 ,tr 
HANGİNİZ 5 PARA EDER GÖSTERİN SATIN ALAYIM   ,Sat Jun 10 18:13:16 +0000 2017 ,tr 
Genelevler evin olmuş hey yavrum heeey ,Fri Jun 09 20:52:15 +0000 2017 ,tr 
RT  cokiciyosun  Bizi de üzdüler ama kimsenin duygularının amına koymadık ,Fri Jun 09 20:48:04 +0000 2017 ,tr 
 mstafatnrvrdi Snne 🙄 ,Fri Jun 09 20:25:56 +0000 2017 ,tr 
Kendimi balkondan mı atsam acaba diyorum  boşver yaa  diyor  Bu biraz gülümsetti ,Fri Jun 09 00:16:05 +0000 2017 ,tr 
Bana göre herkes güvenilmez birer orospu çocuğu belki bazıları biraz daha az ,Fri Jun 09 00:15:01 +0000 2017 ,tr 
RT  nrsnyldrm  Kibiriniz öyle boşuna ki 
Az sonra rastgele sıkılmış bir kurşun sizin pencerenizi kırıp  kalbinizi durdurabilir  ,Thu Jun 08 20:50:40 +0000 2017 ,tr 
Şu mutluluğun sürekli olanı yok mu hep kursağımda kalıyor ulan ,Thu Jun 08 20:05:06 +0000 2017 ,tr 
Ne kaçan kovalansın ne kovalanan kaçsın her şey karşılıklı olsa olmuyor mu amk sikicem egonuzu insan olun insan ,Thu Jun 08 20:03:55 +0000 2017 ,tr 
Vur dedik kombo yaptın knk napıyon ,Thu Jun 08 15:40:19 +0000 2017 ,tr 
Sıcaktan sokakta duramıyoruz mikail naptın amk ,Thu Jun 08 15:39:16 +0000 2017 ,tr 
Bu aralar bir sana birde uykuya doyamıyorum orospu çocuğu ,Thu Jun 08 15:38:57 +0000 2017 ,tr 
RT  alitbalci  Mutluluğa tepki olarak doğmuşum  ,Wed Jun 07 20:33:57 +0000 2017 ,tr 
RT  ateriadaptoru  kardeşim herşeye zararlı diyorsunuz 100 yaşına kadar yaşama gibi amacım yok ben burada istiyorum ki iyi vakit geçireyim ,Tue Jun 06 17:50:45 +0000 2017 ,tr 
RT  nrsnyldrm  Valla bence Haziran da ölememek de zor  ,Mon Jun 05 13:51:22 +0000 2017 ,tr 
Yazın gelmesiyle arılar çıkmaya ben de delirmeye başladım ,Mon Jun 05 11:27:47 +0000 2017 ,tr 
Sabah iki yüzüne birden makyaj yapmak zor olmalı yelloz seni ,Mon Jun 05 11:21:49 +0000 2017 ,tr 
Sevmediğim insanlar bunu görüyorsanız GEBERİN ,Mon Jun 05 11:20:31 +0000 2017 ,tr 
Sıradaki mutluluğum eski sevgilime girsin ,Mon Jun 05 11:19:39 +0000 2017 ,tr 
Bebeyim senin ruhun varoş  cool olucam diye götünü yırtsan neye yarar  ,Mon Jun 05 11:03:47 +0000 2017 ,tr 
Canım bana kulaklıktaki son ses bile yetmiyor ne demek müziğin sesini kıs  ,Sun Jun 04 21:47:59 +0000 2017 ,tr 
RT  alitbalci  Hayat twitter olsaydı seni profilime sabitlerdim  ,Sun Jun 04 21:46:35 +0000 2017 ,tr 
RT  jokervipx  Hissedeceksiniz amınakoduklarım  bir gece yarısı ağlarken sizi güldürmek için çabalayan kişinin yokluğunu iliklerinize kadar… ,Sun Jun 04 21:44:59 +0000 2017 ,tr 
Hocam orospu musunuz bu notlar ne amk ,Sat Jun 03 20:32:20 +0000 2017 ,tr 
Olum benim içim yanıyo ,Sat Jun 03 19:59:51 +0000 2017 ,tr 
RT  beklentileruzer  Benim atlamayı düşündüğüm balkonlarda siz pazar kahvaltıları yapıyorsunuz  Hayat adil değil  ,Sat Jun 03 19:15:00 +0000 2017 ,tr 
RT  otekidunyali  Hic tanimadigim ve bi daha hic gormeyecegim birine  deniz kenarinda oturup tum olanlari ve ne hissedip ne hissetmedigimi… ,Sat Jun 03 13:35:52 +0000 2017 ,tr 
RT  dusukgucmodu  İnsanları delirtip delirtip  ben senin böyle biri olduğunu bilmiyordum  diyorsun  Ulan sen delirtmeden önce ben böyle değ… ,Sat Jun 03 13:09:01 +0000 2017 ,tr 
Olum ne zaman mutlu olucaz amk ,Sat Jun 03 13:07:40 +0000 2017 ,tr 
RT  nrsnyldrm  Her şeye tahammül edebiliyorum  her konuda inanılmaz sakin kalabiliyorum ama insanın gerizekalısına tahammül edemiyorum  SAK… ,Sat Jun 03 13:07:18 +0000 2017 ,tr 
Arkadaşlar beni çok ciddiye alıyorsunuz almayın ,Sat Jun 03 13:06:17 +0000 2017 ,tr 
Ya şu kaldırımlarda ya hızlı yürüyün ya da yol verin amınıza koycam en sonunda ha ,Sat Jun 03 13:05:47 +0000 2017 ,tr 
RT  LeydiBerra  Sevişiyorsun mutlu sanıyorlar ,Fri Jun 02 19:58:53 +0000 2017 ,tr 
Bazı kafa yapısındaki insaları toplayıp yaksak bu ülke belki gelişir ,Fri Jun 02 15:01:08 +0000 2017 ,tr 
Aşkım daha karpuz kesecektik nereye gidiyorsun ,Fri Jun 02 15:00:07 +0000 2017 ,tr 
Ben bilgisayar alırken bile rengine göre alıyorum nasıl dış görünüşe önem vermeyeyim ,Fri Jun 02 14:59:25 +0000 2017 ,tr 
RT  jokervipx  Sana inanmışlığım seni de utandırıyor mu   ,Fri Jun 02 14:21:04 +0000 2017 ,tr 
Ben artık birilerinin yakasına fotoğrafım iğnelensin istiyorum ,Thu Jun 01 17:58:10 +0000 2017 ,tr 
Götünüzü kim kaldırdıysa onun yanına siktir olup gidin sizi çekemem ,Thu Jun 01 15:09:44 +0000 2017 ,tr 
Beni kıra kıra hissizleştirmişsiniz orospu çocukları ,Thu Jun 01 13:26:15 +0000 2017 ,tr 
Ulan siz hangi kafayla vazgeçilmez olduğunuzu düşünüyorsunuz amk ,Thu Jun 01 13:23:22 +0000 2017 ,tr 
Hepiniz ölseniz ne gülerim ha öyle böyle değil çok gülerim ,Thu Jun 01 13:22:47 +0000 2017 ,tr 
Gönül bu ota da konar boka da orospu çocuğuna da ,Thu Jun 01 13:21:55 +0000 2017 ,tr 
Sen orospu çocuğu bile değilsin orrrrrroosspu çocuğusun ,Thu Jun 01 13:10:28 +0000 2017 ,tr 
ULAN ANLATSAM AĞLARSINIZ ,Thu Jun 01 01:40:22 +0000 2017 ,tr 
Hepinize uyuz oluyorum AMK ,Thu Jun 01 01:37:56 +0000 2017 ,tr 
Yatağa yatınca gelen çiş sende şerefsizsin ,Thu Jun 01 01:37:43 +0000 2017 ,tr 
Ya bu aralar aşırı sinirliyim biriniz bana atarlansanıza amk ,Thu Jun 01 01:36:52 +0000 2017 ,tr 
Beni siz delirttiniz ,Thu Jun 01 01:35:53 +0000 2017 ,tr 
RT  nrsnyldrm   İşine gelirse  diye diklenen insanlara  işini de sikerim  egonu da sikerim  demek en büyük hobim  ,Thu Jun 01 00:39:30 +0000 2017 ,tr 
Pılımı pırtımı toplayıp gidicem orospu çocukları ,Wed May 31 23:37:14 +0000 2017 ,tr 
Ya ne demek konuşurken gözlerimin içine bakmıyorsun  şu ağzın güzelliğine bak sen anlat ben dinliyoruum ,Wed May 31 20:50:29 +0000 2017 ,tr 
 YldrmGokhann En azından batak oynayacak bi sevgilin var dkdkdkdkd ,Wed May 31 19:46:42 +0000 2017 ,tr 
RT  ulkucubey 61  Usta bizim yarınlar iptal  ,Wed May 31 19:25:19 +0000 2017 ,tr 
BOZAR MI SANDIN ACILAR    ,Wed May 31 17:31:59 +0000 2017 ,tr 
Şiir seven adamları üzmeyin kızlar ,Wed May 31 13:11:58 +0000 2017 ,tr 
Yahu benim kendime eyvallahım yok sen kimsin    ,Wed May 31 13:10:57 +0000 2017 ,tr 
Mutluluğun ilacı citol arkadaşlar ,Wed May 31 13:09:04 +0000 2017 ,tr 
RT  bahargunes435  Beni yoruyorsunuz     ,Wed May 31 13:07:45 +0000 2017 ,tr 
Arkadaşlar ben ilgiye aç bir insanım ,Wed May 31 13:07:23 +0000 2017 ,tr 
Yahu bu adam beni delirtecek ,Wed May 31 12:56:52 +0000 2017 ,tr 
Beyefendi sizi düşünmekten uyuyamıyorum amk ,Tue May 30 20:39:08 +0000 2017 ,tr 
Ya mikail başlıycam artık depresyonuna yeter ,Tue May 30 15:59:14 +0000 2017 ,tr 
Ben insanları sevemiyorum napayım ,Tue May 30 15:57:28 +0000 2017 ,tr 
Etrafıma ördüğüm yüksek duvarlar üstüme çöktü arkadaşlar ,Tue May 30 13:47:31 +0000 2017 ,tr 
RT  nrsnyldrm  Sen orospu çocukluğu yapmak ile hata yapmak arasındaki farklı karıştırıyorsun  Onlar kanser olmak ile grip olmak kadar ayrı  ,Tue May 30 04:44:12 +0000 2017 ,tr 
RT  SansuRJxx  ben çok sevdiğim birine asla sinirlenemiyorum hemen gülesim geliyor hemen böyle koala gibi sarılıp lütfen beni üzme olur mu… ,Tue May 30 04:43:33 +0000 2017 ,tr 
Kedi görüp mutlu oluyorum insan görüp mutsuz oluyorum fak ,Mon May 29 20:35:35 +0000 2017 ,tr 
ULAN BİRAZ İNSAN OLUN ,Mon May 29 20:11:41 +0000 2017 ,tr 
Gidip biraz kedi videosu izleyeyim de mutlu olayım bari ,Mon May 29 18:58:21 +0000 2017 ,tr 
Kaybedersek de fiyakalı kaybederiz ulan ,Mon May 29 14:27:51 +0000 2017 ,tr 
Bugün  allahım beni bazı insanlar kadar gerizekalı yaratmadığını için şükürler olsun  diyecek gibi oldum sonra ateist olduğum aklıma geldi ,Mon May 29 14:18:48 +0000 2017 ,tr 
Of yine atarlı uyandım ya GÜNAYMADI ,Mon May 29 08:12:34 +0000 2017 ,tr 
BENİ HAR VURUP HARMAN SAVURUP DURMA OÇ ,Sun May 28 21:35:41 +0000 2017 ,tr 
Duygularım düşüncelerim arap saçına döndü arkadaşlar ,Sun May 28 17:57:03 +0000 2017 ,tr 
2 gün mutlu ettin ya hemen üz zaten şerefsiz ,Sun May 28 17:44:52 +0000 2017 ,tr 
RT  disloyaltyy  gereksiz insanların gereksiz ego kasmaları alllaahhh kusucam çekilinnn ,Sun May 28 17:01:10 +0000 2017 ,tr 
Bana seni seviyorum demeyin kinder joy alın ,Sun May 28 16:55:31 +0000 2017 ,tr 
Olum beni üzmeyin saçımla oynayın ,Sun May 28 16:54:52 +0000 2017 ,tr 
Bence sevgi bu dünyadaki en güçlü şey o yüzden beni sevin ,Sun May 28 16:54:09 +0000 2017 ,tr 
İyyici sini yikismiyir sin çikil vikvikvikvik ,Sun May 28 16:51:35 +0000 2017 ,tr 
Ben dış görünüşe önem veriyorum arkadaşlar ,Sun May 28 16:48:51 +0000 2017 ,tr 
Tamam hoş insanlarsınız bilgili kültürlüsünüz de bu kibir  kendini beğenmişlik niye  Tüm iyi yanlarınızı yok ediyorsunuz farkında değilsiniz ,Sun May 28 16:15:41 +0000 2017 ,tr 
Adam gelmiş diyor ki  sana aşkı öğreteceğim  buna bir miktar güldüm ,Sun May 28 16:01:10 +0000 2017 ,tr 
Aslında hiçbir şey yolunda gitmiyor da size gidiyor gibi gösteriyorum çünkü sizi kandırmak hoşuma gidiyo orospu çocukları ,Sun May 28 16:00:16 +0000 2017 ,tr 
kırıldığımı belli edebilmem için kırılmamın karşımdaki için bir önemi olduğunu bilmem gerekir ,Sun May 28 15:43:07 +0000 2017 ,tr 
insan şey istiyo  ihtiyaç duyulmak ,Sun May 28 15:38:36 +0000 2017 ,tr 
Türbe gibi kızım ya yanıma gelenin kısmeti açılıyor ,Sun May 28 13:09:27 +0000 2017 ,tr 
Yaz tatili için tek planım kulaklığı takıp müzik eşliğinde gerçekleşmeyeceğini bildiğim hayaller kurmak ,Sun May 28 12:30:40 +0000 2017 ,tr 
5 yaşından sonra büyümeyi reddettim olum sanane  ,Sun May 28 12:27:39 +0000 2017 ,tr 
Ben hala dalinle yıkanıyorum siz benim kalbimi kırıyorsunuz ayıp değil mi ,Sun May 28 12:10:22 +0000 2017 ,tr 
İyi ki bi kırıldığımı belli etmemeye çalıştım hemen kırılmadım sanmışsın gerizekalı ,Sun May 28 11:35:05 +0000 2017 ,tr 
 Yaaaağ biz şimdi neyiiiiizz  demedik diye mi oluyor tüm bunlar ,Sun May 28 11:31:54 +0000 2017 ,tr 
Ya ben asosyal falan değilim sadece sizin gibi gerizekalılarla arkadaş olmak istemiyorum o kadar ,Sun May 28 11:27:03 +0000 2017 ,tr 
Sabah sabah herkes beni delirtmeye yemin mi etti amk ,Sun May 28 10:48:43 +0000 2017 ,tr 
Yap yap fotoğraftaki beneklere kadar aynısını yap aferin gerizekalı ,Sun May 28 08:14:24 +0000 2017 ,tr 
Ya kızım çok özentisin keşke ölsen ,Sun May 28 08:13:51 +0000 2017 ,tr 
Olum benden aldığınız sigaralarla iftar üstü yapmayın ben ateistim ,Sun May 28 07:44:05 +0000 2017 ,tr 
Dilimizde akşamdan kalma bir küfür       ,Sun May 28 07:26:09 +0000 2017 ,tr 
