,0,1
184,anladık,2
185,fazla,2
186,gizli,2
187,hoca,2
188,oturup,2
189,ses,2
190,aç,2
191,bari,2
192,gereksiz,2
193,be,2
194,diyorum,2
195,kıra,2
196,mısınız,2
197,onun,2
198,ayağı,2
199,birine,2
200,ha,2
201,Yahu,2
202,diyorsunuz,2
203,keşke,2
204,önce,2
205,giyen,2
206,nolur,2
207,edip,2
208,hale,2
209,fuck,2
210,sende,2
211,otobüse,2
212,belli,2
213,benden,2
214,icarusvari,2
215,Bana,2
216,piçine,2
217,sevgili,2
218,sesini,2
219,görünüşe,2
220,varsa,2
221,İnsan,2
222,şerefsiz,2
223,insanın,2
224,girip,2
225,miktar,2
226,herkes,2
227,görmekten,2
228,bildiğim,2
229,Biz,2
230,Sabah,2
231,kardeşim,2
232,edilmesine,2
233,insanlarsınız,2
234,küçük,2
235,ramazan,2
236,uyumuyorum,2
237,2,2
238,içine,2
239,kırıldığımı,2
240,O,2
241,yap,2
242,farklı,2
243,delirtip,2
244,Az,2
245,kızım,2
246,deki,2
247,napıyon,2
248,bende,2
249,gülerim,2
250,evet,2
251,gece,2
252,mor,2
253,sokakta,2
254,koyim,2
255,Tamam,2
256,alitbalci,2
257,sigara,2
258,sırf,2
259,müziğin,2
260,üstü,2
261,kedi,2
262,eski,2
263,hiçbir,2
264,gelip,2
265,şiir,2
266,eşliğinde,2
267,düzenli,2
268,toplayıp,2
269,varoş,2
270,Hayatımda,2
271,sadece,2
272,kıs,2
273,bakıp,2
274,olsa,2
275,kendime,2
276,erkekler,2
277,adam,2
278,müzik,2
279,Sen,2
280,mikail,2
281,insanlar,2
282,musunuz,2
283,Böcek,2
284,ilk,2
285,musun,2
286,deniz,2
287,peki,2
288,işini,2
289,jokervipx,2
290,dış,2
291,oynaşıp,1
292,dusukgucmodu,1
293,Hayal,1
294,şerefsizler,1
295,rastgele,1
296,herkesindir,1
297,Muhammed,1
298,bilmiyordum,1
299,ağrısı,1
300,OLMALI,1
301,et,1
302,şimdi,1
303,tren,1
304,kırılmamın,1
305,marjinalkizx,1
306,BENİM,1
307,tepki,1
308,gerizekalısın,1
309,Can,1
310,isimli,1
311,uyku,1
312,git,1
313,EGEMENLİĞİM,1
314,götünü,1
315,gerçekten,1
316,Çocuklara,1
317,ayol,1
318,hunharca,1
319,sormak,1
320,alerji,1
321,gerizekalılarla,1
322,Yaaaağ,1
323,ufak,1
324,ağlıyorum,1
325,yetmiyor,1
326,Vur,1
327,Şeytan,1
328,erkeği,1
329,Mayıs,1
330,Kesinlikle,1
331,gerizekalısına,1
332,muamelesi,1
333,mutluyum,1
334,laf,1
335,olmayın,1
336,saçma,1
337,zalim,1
338,Adama,1
339,sıkılmış,1
340,bilmem,1
341,duvarlar,1
342,Vakıfın,1
343,yazmadan,1
344,yaptınız,1
345,alın,1
346,DURMA,1
347,Moralimi,1
348,öldürdüm,1
349,23,1
350,bardak,1
351,Mutluluğa,1
352,yarınlar,1
353,inanmaya,1
354,gösteriyor,1
355,geçeceğini,1
356,karar,1
357,almışız,1
358,gündür,1
359,laik,1
360,delirtecek,1
361,Bizi,1
362,değ…,1
363,Yap,1
364,yoruyorsunuz,1
365,Nisan,1
366,Apo,1
367,yaşından,1
368,karşılıklı,1
369,çorabımı,1
370,ayın,1
371,ağzınızı,1
372,anlatılabilirmiş,1
373,ölseniz,1
374,ediyorum,1
375,nazik,1
376,bunu,1
377,Kün,1
378,epik,1
379,ediyorsunuz,1
380,Tabiki,1
381,egonuzu,1
382,yoktu,1
383,yelloz,1
384,abla,1
385,ancak,1
386,aklıma,1
387,kaçsın,1
388,düştü,1
389,aşırı,1
390,kuruyor,1
391,inanılmaz,1
392,bulandı,1
393,bugün,1
394,İz,1
395,dkdmdmdmdmdmd,1
396,varlıklar,1
397,vikvikvikvik,1
398,giydikleri,1
399,büyült,1
400,olsun,1
401,içerseniz,1
402,imzamı,1
403,ellerinizi,1
404,zaten🙄,1
405,kızsın,1
406,an,1
407,Gideyim,1
408,kondu,1
409,hissettiğimi,1
410,Demokrasiyi,1
411,sizde,1
412,Kadını,1
413,kalıyorum,1
414,atarlı,1
415,yıkamanıza,1
416,ulkucubey,1
417,birilerinin,1
418,cokiciyosun,1
419,evi,1
420,fotoğraf,1
421,tekrar,1
422,köle,1
423,napardım,1
424,çorap,1
425,nın,1
426,ünde,1
427,gayler,1
428,Duygularım,1
429,cool,1
430,müslüman,1
431,kızıyor,1
432,felçlerinden,1
433,edebilmem,1
434,özrü,1
435,sürse,1
436,göz,1
437,arayamamak,1
438,yokmuş,1
439,tanimadigim,1
440,ota,1
441,Arkadaş,1
442,oç,1
443,Zaman,1
444,istedim,1
445,Aksu,1
446,sinirlenemiyorum,1
447,bilmiyor,1
448,elinde,1
449,karşınızdakinin,1
450,bırakmıyorum,1
451,tivitimi,1
452,kıskanıyoruz,1
453,yalnızca,1
454,altına,1
455,yanımdalar,1
456,üfletiyorum,1
457,seydiyle,1
458,gianluici,1
459,davranan,1
460,deyince,1
461,BİLMİYOR,1
462,kızla,1
463,Sivas,1
464,selamın,1
465,atmış,1
466,siktir,1
467,deseler,1
468,geçiriyordum,1
469,sevin,1
470,gerekiyor,1
471,ayırtıp,1
472,twitter,1
473,unutmasanız,1
474,bakma,1
475,ağrımaya,1
476,yapsam,1
477,durumuna,1
478,hissediyorum,1
479,okudu,1
480,söylemiyorsunuz,1
481,gidiyor,1
482,gelişir,1
483,nöropiskolojik,1
484,uyumuycam,1
485,elimdekileri,1
486,anlayışınız,1
487,i,1
488,sövüyoruz,1
489,wp,1
490,sikesim,1
491,Bide,1
492,anıya,1
493,kadar…,1
494,Çağlar,1
495,kitliyor,1
496,istediniz,1
497,çaldı,1
498,kalma,1
499,bilet,1
500,olmadığını,1
501,uyandım,1
502,ibadet,1
503,in,1
504,AĞLARSINIZ,1
505,şansımı,1
506,böyleyim,1
507,diklenen,1
508,neden,1
509,dizisi,1
510,çocuklarındanız,1
511,Onun,1
512,devam,1
513,Misafirliğe,1
514,oje,1
515,VURUP,1
516,insaları,1
517,yetişen,1
518,olmadığındandır,1
519,Hem,1
520,delirtmeye,1
521,gelmiş,1
522,kahpelikler,1
523,kaçıncı,1
524,ağrıyor,1
525,yazılan,1
526,kalp,1
527,iğnelensin,1
528,olmuş,1
529,mutluluğun,1
530,ğim💁🏼,1
531,çıkaramayan,1
532,atabilir,1
533,alıyorsunuz,1
534,dururken,1
535,siliyorsunuz,1
536,gidiyo,1
537,inatla,1
538,psikoloğa,1
539,naapsak,1
540,hesap,1
541,veriyorum,1
542,gördüm,1
543,bakmıyorsun,1
544,üz,1
545,bağırması,1
546,yikismiyir,1
547,silerken,1
548,Usta,1
549,SABAHLARIN,1
550,sümüklüm,1
551,kaldırdıysa,1
552,korktum,1
553,Gönül,1
554,YÂRİ,1
555,olum,1
556,son,1
557,fotoğrafım,1
558,kurmak,1
559,dünyadaki,1
560,Muck,1
561,LGBTTurkiye,1
562,dkdkdkdkd,1
563,hayatı,1
564,yapabileceğim,1
565,amınakoduklarım,1
566,şeye,1
567,Halledemeyeceğiz,1
568,hissetmedigimi…,1
569,DESTANIM,1
570,ateistim,1
571,kardeş,1
572,yoruldum,1
573,yorum,1
574,hayattaki,1
575,SAK…,1
576,sevemiyorum,1
577,biliyordum,1
578,altınla,1
579,gezen,1
580,yenisini,1
581,kalbinizi,1
582,arap,1
583,İyyici,1
584,etmemeye,1
585,şeyden,1
586,verseydi,1
587,kilo,1
588,ruhun,1
589,aldığınız,1
590,kurmaya,1
591,atabilirim,1
592,adına,1
593,yapısındaki,1
594,güç,1
595,kapattım,1
596,düğün,1
597,kendine,1
598,herşeye,1
599,alabildiğin,1
600,etmez,1
601,dksmsmsms,1
602,gülümsetti,1
603,SANDIN,1
604,gözlerimin,1
605,yükseklik,1
606,interseksüeller,1
607,eker,1
608,Allah,1
609,karabasan,1
610,duygularının,1
611,taklit,1
612,Hiçbir,1
613,içiyorum,1
614,Aşkım,1
615,vazgeçilmez,1
616,karşılaştım,1
617,yürüyün,1
618,oturuyorum,1
619,Sevmediğim,1
620,Bağırın,1
621,buna,1
622,sultanı,1
623,yekün,1
624,hoş,1
625,çabalayan,1
626,düşmanı,1
627,aramak,1
628,düzen,1
629,tahammülüm,1
630,Valla,1
631,söylemedim,1
632,değiştirecek,1
633,kızlardanım,1
634,giderken,1
635,çirkef,1
636,soykırımcı,1
637,yemin,1
638,grip,1
639,şeklini,1
640,beneklere,1
641,arabasına,1
642,delirmeye,1
643,baksana,1
644,başlıycam,1
645,ölememek,1
646,Yatağa,1
647,na…,1
648,oaff,1
649,karşımdaki,1
650,kulaklığı,1
651,Hepiniz,1
652,kanser,1
653,kusucam,1
654,basit,1
655,mstafatnrvrdi,1
656,görüşünü,1
657,duş,1
658,çocuklarıyla,1
659,sanane,1
660,ayında,1
661,insanım,1
662,replik,1
663,diyorsun,1
664,kesiliyor,1
665,Yalnız,1
666,batak,1
667,bizim,1
668,aferin,1
669,karşıdakini,1
670,tiviti,1
671,şeylere,1
672,geldik,1
673,fotoğraflarını,1
674,sarhoş,1
675,yerine,1
676,Feto,1
677,sivas,1
678,ego,1
679,anlamadım,1
680,man,1
681,yeri,1
682,çekemem,1
683,çantadan,1
684,kesecektik,1
685,yapma,1
686,bitane,1
687,aramaa,1
688,girsin,1
689,iliklerinize,1
690,Kedi,1
691,azından,1
692,çalan,1
693,isterken,1
694,Aramazsan,1
695,Ramazan,1
696,Zamanında,1
697,yüzden,1
698,düşünmekten,1
699,konuşmuş,1
700,saatlerce,1
701,aramaaaaaa,1
702,olacağını,1
703,Oysa,1
704,bizde,1
705,çocukluğu,1
706,rengine,1
707,uykumu,1
708,hayattan,1
709,kafan,1
710,DEMOKRASİM,1
711,beslememe,1
712,sünnet,1
713,delirttiniz,1
714,di…,1
715,şeysini,1
716,Türkiye,1
717,yapasım,1
718,sevgi,1
719,kıskanın,1
720,çay,1
721,En,1
722,MTanal,1
723,balkondan,1
724,sürekli,1
725,içmek,1
726,milyonlarca,1
727,gelmesiyle,1
728,karpuz,1
729,çıkan,1
730,sandığın,1
731,delirtmeden,1
732,çikil,1
733,konuşurken,1
734,geyi,1
735,fazlasını,1
736,ozansomel,1
737,DESTANINIZI,1
738,savunduğu,1
739,çatısından,1
740,önemi,1
741,gidiyorsun,1
742,beeeeeee,1
743,kırgınım,1
744,oynayacak,1
745,koycam,1
746,tıktıktıktık,1
747,akıllı,1
748,harem,1
749,Bafra,1
750,Göze,1
751,aldı,1
752,dlssksksk,1
753,biçer,1
754,Çocuklarına,1
755,oynayın,1
756,kıskanacak,1
757,boşver,1
758,kafanı,1
759,çorabınız,1
760,sevmeyene,1
761,pırtımı,1
762,sinirlendirebildiğinizden,1
763,bitince,1
764,cümlesi,1
765,duramıyoruz,1
766,kafayla,1
767,Pılımı,1
768,üzülürüm,1
769,geldi,1
770,Yani,1
771,menemen,1
772,burada,1
773,yere,1
774,engelliyorsam,1
775,büyümeyi,1
776,bitiğine,1
777,29,1
778,BugraYt,1
779,kandırdınız,1
780,alllaahhh,1
781,videolarını,1
782,bıkmadın,1
783,duyulan,1
784,sevmediler,1
785,sarılıp,1
786,biliyorum,1
787,rahat,1
788,yüksek,1
789,heteroseksist,1
790,yanına,1
791,derin,1
792,emojide,1
793,haklarına,1
794,Behzatc,1
795,sabitlerdim,1
796,bahçelerde,1
797,ölüyorum,1
798,sevgilinle,1
799,Atatürk,1
800,istiyo,1
801,midem,1
802,HAR,1
803,görmedim,1
804,pazar,1
805,kısmeti,1
806,bence,1
807,inanmışlığım,1
808,yaksak,1
809,hala,1
810,değiştiremeyeceğin…,1
811,kırılmadım,1
812,üzme,1
813,sinirlenince,1
814,aynısını,1
815,Eki…,1
816,bahçeye,1
817,eyvallahım,1
818,profilime,1
819,olucaz,1
820,baş,1
821,Sana,1
822,hangi,1
823,reddettim,1
824,gökyüzü,1
825,bırakıp,1
826,olsaydı,1
827,Hocam,1
828,derken,1
829,ovasında,1
830,aptallığa,1
831,ihtiyacım,1
832,AHSJDKDKDKDKFKDKDNDJDJSHAHAHAHSHS,1
833,napayım,1
834,unutulmasın,1
835,insana,1
836,yaraların,1
837,Siz,1
838,makyaj,1
839,dolu,1
840,bağımsız,1
841,çıkmaya,1
842,doğmuşum,1
843,yavrum,1
844,dedi,1
845,içerim,1
846,güzelliğine,1
847,Burda,1
848,gidecektik,1
849,şerefsizsin,1
850,Kısık,1
851,sonunda,1
852,götürmüşlerdi,1
853,olabilir,1
854,biri,1
855,kalabileceğim,1
856,gider,1
857,ayrı,1
858,orucu,1
859,olayım,1
860,özlüyorum,1
861,gerçekleşmeyeceğini,1
862,koyayım,1
863,kibir,1
864,18,1
865,soğuyorsun,1
866,Koray,1
867,sında,1
868,hep,1
869,tşkklr,1
870,düşünüyorsunuz,1
871,üşeniyom,1
872,karıştırıyorsun,1
873,üstüme,1
874,olmuyor,1
875,günde,1
876,silse,1
877,gidin,1
878,iptal,1
879,meyve,1
880,Yıllardır,1
881,Son,1
882,kalpsiz,1
883,asla,1
884,dedikodusunu,1
885,konar,1
886,Yazın,1
887,mezuniyet,1
888,mutluluğum,1
889,kaybederiz,1
890,mavi,1
891,gülesim,1
892,kimsenin,1
893,kursağımda,1
894,heeey,1
895,çaba,1
896,sevdim,1
897,hissizleştirmişsiniz,1
898,olmadık,1
899,çalışanların,1
900,Sevişiyorsun,1
901,illa,1
902,mu…,1
903,abarttım,1
904,sayın,1
905,çocuğusun,1
906,geçerken,1
907,hic,1
908,nede,1
909,kafa,1
910,Teokratik,1
911,kahvaltıları,1
912,babasının,1
913,muzolirizm,1
914,beğenmişlik,1
915,GÖSTERİN,1
916,61,1
917,fotoğraftaki,1
918,döver,1
919,knk,1
920,egonu,1
921,Sensin,1
922,sıkıldım,1
923,dumanından,1
924,😂,1
925,oynasa,1
926,yerim,1
927,balon,1
928,Naber,1
929,anneeeeeee,1
930,kırıcı,1
931,taşar,1
932,geldim,1
933,anladığın,1
934,ülkenin,1
935,Liselilerin,1
936,telefon,1
937,Kızlar,1
938,sorasım,1
939,darbe,1
940,yazmaya,1
941,kedileri,1
942,bağlarını,1
943,diyecek,1
944,Türbe,1
945,mutsuz,1
946,orrrrrroosspu,1
947,Hic,1
948,cama,1
949,yaşama,1
950,buldun,1
951,açılıyor,1
952,duygusuz,1
953,bozacak,1
954,bıkmıştım,1
955,araban,1
956,alırlar,1
957,oldu,1
958,olmaması,1
959,yuman,1
960,eder,1
961,çekilinnn,1
962,Niksar,1
963,fiyuu,1
964,yıkanıyorum,1
965,haram,1
966,sevmem,1
967,yalnız,1
968,lezbiyenler,1
969,saçlarına,1
970,defa,1
971,edemiyorum,1
972,intikamcı,1
973,ALAYIM,1
974,Demokrasi,1
975,masadaki,1
976,kediler,1
977,kızları,1
978,döndü,1
979,döndüğüm,1
980,alpixella,1
981,sesle,1
982,meclisten,1
983,vakadır…,1
984,KEMAL,1
985,çiçekle,1
986,sahura,1
987,kavgası,1
988,ARZ,1
989,çocuktan,1
990,gesi,1
991,uykuya,1
992,Yaz,1
993,resmen,1
994,yarısı,1
995,birer,1
996,sürtükler,1
997,bunlar,1
998,Serseri,1
999,birden,1
1000,Tenimdeki,1
1001,anlatmıyor,1
1002,güçlü,1
1003,çükü,1
1004,bğşra,1
1005,sikicem,1
1006,gitmiyor,1
1007,SAVURUP,1
1008,Gidecek,1
1009,örneklemiş,1
1010,Tanrı’nın,1
1011,ACILAR,1
1012,parklarda,1
1013,Neler,1
1014,hiçe,1
1015,vermeyeyim,1
1016,İzmir,1
1017,YldrmGokhann,1
1018,kırıklığı,1
1019,atıyorum,1
1020,OLUN,1
1021,girdim,1
1022,sabah,1
1023,diz,1
1024,telefonu,1
1025,atlamayı,1
1026,feyzaltun,1
1027,hissedip,1
1028,Aslında,1
1029,balkonlarda,1
1030,zararlı,1
1031,edebiliyorum,1
1032,BU,1
1033,SansuRJxx,1
1034,izleyeyim,1
1035,kırıp,1
1036,amacım,1
1037,yatınca,1
1038,amınıza,1
1039,100,1
1040,yokluğunu,1
1041,koyacaksak,1
1042,odanı,1
1043,koyuyorsun,1
1044,ağzım,1
1045,yazdığım,1
1046,döndüm,1
1047,büyük,1
1048,kalbimi,1
1049,ayağına,1
1050,kandırmak,1
1051,konuda,1
1052,çöktü,1
1053,egemenliğiniz,1
1054,Bence,1
1055,hey,1
1056,Sabahın,1
1057,kaybetmekten,1
1058,Sıcak,1
1059,koydum,1
1060,Daha,1
1061,inde,1
1062,ağlarken,1
1063,gittiğimiz,1
1064,tum,1
1065,yaktın,1
1066,kırıyorsunuz,1
1067,pencerenizi,1
1068,şeriat,1
1069,Mart,1
1070,arkadaşımı,1
1071,takip,1
1072,söyler,1
1073,sinirliyim,1
1074,iyiyim,1
1075,olmasan,1
1076,yaramıza,1
1077,yanıma,1
1078,depresyonuna,1
1079,6000,1
1080,peynir,1
1081,Sıradaki,1
1082,yazınca,1
1083,yanıyo,1
1084,dışarı,1
1085,bakmayın,1
1086,otobüste,1
1087,mezara,1
1088,konuşuyoruz,1
1089,citol,1
1090,demeyin,1
1091,seviyon,1
1092,ev,1
1093,atlatacak,1
1094,yazdığı,1
1095,kaybedilir,1
1096,otobüsle,1
1097,tanıştım,1
1098,değilsiniz,1
1099,yapıyoruz,1
1100,güvenilmez,1
1101,yerleri,1
1102,yürüyor,1
1103,uyusam,1
1104,dağlarında,1
1105,haberimiz,1
1106,verdim,1
1107,Batsın,1
1108,omuz,1
1109,seven,1
1110,iftar,1
1111,ortasında,1
1112,sayılıyor,1
1113,kelime,1
1114,dünya,1
1115,sevgilimi,1
1116,harika,1
1117,sanıyo,1
1118,hesabıma,1
1119,SATIN,1
1120,yaptın,1
1121,günden,1
1122,la,1
1123,adil,1
1124,OÇ,1
1125,gri,1
1126,ilişki,1
1127,BAĞIMSIZLIĞIM,1
1128,olduğu,1
1129,kaçan,1
1130,MUSTAFA,1
1131,oldun,1
1132,uyuyayım,1
1133,kinder,1
1134,Gecenin,1
1135,muhtaç,1
1136,ordular,1
1137,Snne,1
1138,ağliycim,1
1139,ateriadaptoru,1
1140,kovalanan,1
1141,ekrana,1
1142,un,1
1143,kaşar,1
1144,Yaptığım,1
1145,kahvaltıya,1
1146,çekmek,1
1147,kusucaö,1
1148,kardeşine,1
1149,büyüdükçe,1
1150,oturduk,1
1151,Sabahtan,1
1152,rahatsız,1
1153,olmaya,1
1154,dahi,1
1155,ilacı,1
1156,yaşına,1
1157,kalpli,1
1158,naparsanız,1
1159,onlar,1
1160,askimsu,1
1161,sin,1
1162,sevgilim,1
1163,bayram,1
1164,çocuğun,1
1165,hocaya,1
1166,shopla,1
1167,güldüm,1
1168,demedik,1
1169,oynamıycam,1
1170,Ağustos,1
1171,demiyoruzdur,1
1172,hayaller,1
1173,Tüm,1
1174,canım,1
1175,HANGİNİZ,1
1176,Dikkat,1
1177,etti,1
1178,sevdiğim,1
1179,diğer,1
1180,edeceğine,1
1181,sanıyorlar,1
1182,Samsun,1
1183,değerli,1
1184,nediiiiir,1
1185,hanfendi,1
1186,neyiiiiizz,1
1187,benimle,1
1188,gerekir,1
1189,yapar,1
1190,boku,1
1191,yuhlitoris,1
1192,durup,1
1193,transı,1
1194,Mutluluğun,1
1195,file,1
1196,Amk,1
1197,Engellemeyenin,1
1198,MI,1
1199,insan…,1
1200,yolunda,1
1201,sayıp,1
1202,PARA,1
1203,demokratik,1
1204,Gidip,1
1205,az,1
1206,yanlarınızı,1
1207,gelen,1
1208,3,1
1209,hobim,1
1210,gormeyecegim,1
1211,deyip,1
1212,BOZAR,1
1213,almayın,1
1214,küçükken,1
1215,yapın,1
1216,yüzünüzü,1
1217,deli,1
1218,Ateistiz,1
1219,ördüğüm,1
1220,Adam,1
1221,Taner,1
1222,Millet,1
1223,a,1
1224,Sıcaktan,1
1225,bozunca,1
1226,taş,1
1227,yaptığın,1
1228,sayesinde,1
1229,umarım,1
1230,razıydım,1
1231,işte,1
1232,mesaj,1
1233,EDER,1
1234,nefret,1
1235,Götünüzü,1
1236,uyanmayı,1
1237,Yeliz,1
1238,farkında,1
1239,cileekkokusuuu,1
1240,olanlari,1
1241,mal,1
1242,kadınların,1
1243,bayırından,1
1244,yırtsan,1
1245,alperment,1
1246,yeter,1
1247,çaktırmadan,1
1248,maşa,1
1249,ANLATSAM,1
1250,yazının,1
1251,GEBERİN,1
1252,barışmasın,1
1253,ağlıyorsunuz,1
1254,etmedim,1
1255,İNSAN,1
1256,açlık…,1
1257,11,1
1258,adamları,1
1259,bilemedik,1
1260,kızların,1
1261,sigaralarla,1
1262,çektiğim,1
1263,varoşluğun,1
1264,rakıyı,1
1265,güzelim,1
1266,bulundukları,1
1267,otekidunyali,1
1268,zorunda,1
1269,kıskanç,1
1270,ojelerimi,1
1271,kasmaları,1
1272,Şu,1
1273,aq,1
1274,cehennem,1
1275,yazı,1
1276,korkusundan,1
1277,insancıklar,1
1278,acımasızdı,1
1279,memen,1
1280,allaaah,1
1281,arasındaki,1
1282,gelenin,1
1283,ondan,1
1284,paylaşmak,1
1285,merak,1
1286,flört,1
1287,küsler,1
1288,yerde,1
1289,özentisin,1
1290,biseksüeller,1
1291,almayan,1
1292,mısın,1
1293,Hepinize,1
1294,dkdkdksk,1
1295,düğünü,1
1296,uyuyamıyorum,1
1297,günlerden,1
1298,toparlayamıycaz,1
1299,duşa,1
1300,ölmem,1
1301,planım,1
1302,izliyorum,1
1303,olun,1
1304,noluyor,1
1305,Kaybedersek,1
1306,videosu,1
1307,rt,1
1308,ıslatıyorum,1
1309,gidicem,1
1310,söylüyoruz,1
1311,Abi,1
1312,kusura,1
1313,seslenme,1
1314,insanları,1
1315,bakıyon,1
1316,Büşranın,1
1317,fe,1
1318,Fotoğraflarıma,1
1319,düşüncelerim,1
1320,ölmeden,1
1321,aşkı,1
1322,azyazarozyazarr,1
1323,Siktir,1
1324,yapılan,1
1325,erkekleri,1
1326,dansa,1
1327,yüzüne,1
1328,yerin,1
1329,sevgilime,1
1330,ayıp,1
1331,yandığında,1
1332,yardım,1
1333,4,1
1334,inanamıyorum,1
1335,Birlikte,1
1336,etmem,1
1337,planları,1
1338,Konya,1
1339,engelliyor,1
1340,allan,1
1341,krizi,1
1342,evin,1
1343,kişiyi,1
1344,baya,1
1345,kişinin,1
1346,fav,1
1347,çocukların,1
1348,Balkonda,1
1349,BİR,1
1350,flaşıyla,1
1351,yüceltiyor,1
1352,Dilimizde,1
1353,kenarı,1
1354,temizlemeye,1
1355,başladı,1
1356,Ağlıyorum,1
1357,sırnaşma,1
1358,nefese,1
1359,Sezen,1
1360,hali,1
1361,sürdüm,1
1362,Bebeyim,1
1363,bazı,1
1364,aha,1
1365,düşündüğüm,1
1366,13′ünde,1
1367,kurşun,1
1368,neyin,1
1369,kafası,1
1370,lys,1
1371,Etrafıma,1
1372,anlatayım,1
1373,yaşarsın,1
1374,sokağın,1
1375,Aksini,1
1376,evresi,1
1377,ağlatsın,1
1378,bazen,1
1379,NEYLEYİM,1
1380,bakıyo,1
1381,ağlayayım,1
1382,anlamanız,1
1383,ın,1
1384,sınavına,1
1385,intihar,1
1386,yaa,1
1387,izlerini,1
1388,yapıp,1
1389,siktirgit,1
1390,anlatamam,1
1391,YERİM,1
1392,değilsin,1
1393,Demek,1
1394,istediğin,1
1395,kulaklıktaki,1
1396,etek,1
1397,yaparken,1
1398,akşamdan,1
1399,değilim,1
1400,insanın…,1
1401,allahım,1
1402,cam,1
1403,seninle,1
1404,küfür,1
1405,yapmayın,1
1406,ciddiye,1
1407,dinliyoruum,1
1408,insanların,1
1409,durdurabilir,1
1410,saçına,1
1411,şeftali,1
1412,banyoya,1
1413,hem,1
1414,12,1
1415,planlar,1
1416,Şiir,1
1417,dünyayı,1
1418,dalinle,1
1419,kendi,1
1420,30,1
1421,Hayatım,1
1422,arılar,1
1423,yalnızlığın,1
1424,duyulmak,1
1425,BENİ,1
1426,atarlansanıza,1
1427,bil,1
1428,batıyosa,1
1429,dağıt,1
1430,sanıyorsunuz,1
1431,unutmayın,1
1432,herkesi,1
1433,koymadık,1
1434,zaten,1
1435,Kibiriniz,1
1436,ilgiye,1
1437,isterdim,1
1438,bebeklere,1
1439,çocuğuna,1
1440,asosyal,1
1441,unuttum,1
1442,Kendimi,1
1443,kraker,1
1444,kombo,1
1445,çıktın,1
1446,yol,1
1447,e…,1
1448,çekip,1
1449,GÜNAYMADI,1
1450,yar,1
1451,olanı,1
1452,işim,1
1453,çiş,1
1454,arkadaş,1
1455,atma,1
1456,kalmasını,1
1457,üzdüler,1
1458,binanın,1
1459,sini,1
1460,joy,1
1461,ağzın,1
1462,yaşın,1
1463,aslında,1
1464,eğer,1
1465,HALİMDEN,1
1466,evde,1
1467,kalktım,1
